EaseLinearNone:							EaseLinearNone:
--------							--------
    0:  1234.500000						    0:  1234.500000
   74: 124265.445312						   74: 124265.445312
   75: 124509.976562						   75: 124509.976562
   76: 124651.734375						   76: 124651.734375

EaseCircIn:							EaseCircIn:
--------							--------
    0:  1234.500000						    0:  1234.500000
    1:  1244.945923					      |	    1:  1244.949219
    2:  1276.285522					      |	    2:  1276.282104
    3:  1328.538208					      |	    3:  1328.535522
    4:  1401.730713					      |	    4:  1401.731445
    5:  1495.900269					      |	    5:  1495.899414
    6:  1611.091309					      |	    6:  1611.090942
    7:  1747.363037					      |	    7:  1747.364746
    8:  1904.793091					      |	    8:  1904.794678
    9:  2083.455322					      |	    9:  2083.454102
   10:  2283.446533					      |	   10:  2283.446045
   11:  2504.867920					      |	   11:  2504.866211
   12:  2747.839600					      |	   12:  2747.839844
   13:  3012.490723					      |	   13:  3012.491699
   14:  3298.959717					      |	   14:  3298.961914
   15:  3607.404785						   15:  3607.404785
   16:  3937.990723					      |	   16:  3937.989990
   17:  4290.907715					      |	   17:  4290.908203
   18:  4666.340820					      |	   18:  4666.343750
   19:  5064.513672					      |	   19:  5064.510254
   20:  5485.646973					      |	   20:  5485.649902
   21:  5929.987793					      |	   21:  5929.984375
   22:  6397.798828					      |	   22:  6397.799805
   23:  6889.354980					      |	   23:  6889.354004
   24:  7404.958984					      |	   24:  7404.956543
   25:  7944.925293					      |	   25:  7944.922852
   26:  8509.598633					      |	   26:  8509.599609
   27:  9099.338867					      |	   27:  9099.339844
   28:  9714.530273					      |	   28:  9714.533203
   29: 10355.585938					      |	   29: 10355.584961
   30: 11022.944336					      |	   30: 11022.943359
   31: 11717.070312					      |	   31: 11717.072266
   32: 12438.458008						   32: 12438.458008
   33: 13187.635742					      |	   33: 13187.636719
   34: 13965.171875					      |	   34: 13965.175781
   35: 14771.672852					      |	   35: 14771.670898
   36: 15607.767578					      |	   36: 15607.769531
   37: 16474.150391					      |	   37: 16474.148438
   38: 17371.556641					      |	   38: 17371.558594
   39: 18300.767578					      |	   39: 18300.765625
   40: 19262.628906					      |	   40: 19262.630859
   41: 20258.031250					      |	   41: 20258.027344
   42: 21287.951172						   42: 21287.951172
   43: 22353.433594					      |	   43: 22353.431641
   44: 23455.599609					      |	   44: 23455.595703
   45: 24595.660156					      |	   45: 24595.664062
   46: 25774.919922					      |	   46: 25774.921875
   47: 26994.812500					      |	   47: 26994.808594
   48: 28256.863281					      |	   48: 28256.867188
   49: 29562.759766						   49: 29562.759766
   50: 30914.339844					      |	   50: 30914.335938
   51: 32313.589844					      |	   51: 32313.587891
   52: 33762.730469					      |	   52: 33762.734375
   53: 35264.167969					      |	   53: 35264.164062
   54: 36820.593750					      |	   54: 36820.589844
   55: 38434.984375						   55: 38434.984375
   56: 40110.656250						   56: 40110.656250
   57: 41851.339844						   57: 41851.339844
   58: 43661.207031						   58: 43661.207031
   59: 45545.015625						   59: 45545.015625
   60: 47508.167969					      |	   60: 47508.164062
   61: 49556.902344						   61: 49556.902344
   62: 51698.402344						   62: 51698.402344
   63: 53941.105469					      |	   63: 53941.101562
   64: 56294.960938					      |	   64: 56294.964844
   65: 58771.878906					      |	   65: 58771.875000
   66: 61386.304688						   66: 61386.304688
   67: 64156.035156						   67: 64156.035156
   68: 67103.500000						   68: 67103.500000
   69: 70257.546875					      |	   69: 70257.539062
   70: 73656.468750						   70: 73656.468750
   71: 77352.960938					      |	   71: 77352.968750
   72: 81423.250000						   72: 81423.250000
   73: 85985.101562						   73: 85985.101562
   74: 91238.937500					      |	   74: 91238.945312
   75: 97584.296875						   75: 97584.296875
   76: 106107.320312						   76: 106107.320312

EaseCircOut:							EaseCircOut:
--------							--------
    0:  1234.500000						    0:  1234.500000
    1: 21082.519531						    1: 21082.519531
    2: 29211.851562						    2: 29211.851562
    3: 35386.519531					      |	    3: 35386.515625
    4: 40538.851562						    4: 40538.851562
    5: 45031.117188						    5: 45031.117188
    6: 49049.765625						    6: 49049.765625
    7: 52705.820312						    7: 52705.820312
    8: 56071.859375					      |	    8: 56071.863281
    9: 59198.421875						    9: 59198.421875
   10: 62122.433594						   10: 62122.433594
   11: 64871.792969						   11: 64871.792969
   12: 67468.273438						   12: 67468.273438
   13: 69929.195312						   13: 69929.195312
   14: 72268.656250					      |	   14: 72268.664062
   15: 74498.312500						   15: 74498.312500
   16: 76627.882812						   16: 76627.882812
   17: 78665.625000						   17: 78665.625000
   18: 80618.617188						   18: 80618.617188
   19: 82492.976562						   19: 82492.976562
   20: 84294.015625						   20: 84294.015625
   21: 86026.406250						   21: 86026.406250
   22: 87694.296875						   22: 87694.296875
   23: 89301.328125						   23: 89301.328125
   24: 90850.773438						   24: 90850.773438
   25: 92345.593750						   25: 92345.593750
   26: 93788.414062					      |	   26: 93788.406250
   27: 95181.640625						   27: 95181.640625
   28: 96527.429688					      |	   28: 96527.437500
   29: 97827.796875						   29: 97827.796875
   30: 99084.539062						   30: 99084.539062
   31: 100299.304688						   31: 100299.304688
   32: 101473.625000						   32: 101473.625000
   33: 102608.914062						   33: 102608.914062
   34: 103706.476562						   34: 103706.476562
   35: 104767.484375						   35: 104767.484375
   36: 105793.062500						   36: 105793.062500
   37: 106784.265625						   37: 106784.265625
   38: 107742.023438						   38: 107742.023438
